mean_intensity,std_intensity,variance,entropy,edge_count,glcm_contrast,glcm_homogeneity,filename,masked_pixel_count
43.709564208984375,76.1636962100641,5800.908620378934,2.2311871383953545,14311,96.71100629892365,0.8026580704206063,10002.png,71494
55.42578125,78.91390844061353,6227.404945373535,3.0758400354141937,17636,109.19499143835613,0.7281970825792767,10003.png,106382
38.93123245239258,76.62221456888122,5870.963765439674,2.2127970566427297,15049,273.07168847847356,0.826479963360578,10017.png,78372
35.54728698730469,72.65614488374729,5278.915389368078,2.0358745891814816,21045,632.8070266634049,0.8277374021523869,10024.png,63798
44.44449996948242,82.91489170742214,6874.879266853541,1.9430709795254613,17355,395.34468260763197,0.8446327132072248,10028.png,66929
39.344642639160156,71.01085614542644,5042.5416905064485,2.4111090927694354,10386,118.07218535958901,0.8028546510143778,10033.png,74849
56.039554595947266,81.16711021402813,6588.09978049619,2.8314480427722875,29253,346.9642551369862,0.7322272023052667,10036.png,97890
38.62211608886719,71.51190035347427,5113.951892165234,2.187615561039739,21471,228.67592649217224,0.8073545682021469,10038.png,69295
41.23078536987305,72.76389782261096,5294.584826339367,2.7335007936144433,27902,290.06660500244607,0.7511712810676577,10039.png,91404
43.046607971191406,74.5811871691011,5562.35347955249,2.574364863657289,20268,427.2465218321917,0.7684645164319187,10045.png,88351
48.7789192199707,76.40513948318335,5837.745339444704,2.885395611357517,23057,438.1721654843444,0.738171446893355,10046.png,97905
44.29060745239258,75.60138706351884,5715.569725927995,2.6414751868022464,25152,172.67233365949113,0.7691957405126093,10047.png,85502
67.7807388305664,89.17974416256155,7953.02676889993,2.9545417491581634,30785,333.32258668664383,0.7199609746974706,10049.png,107425
54.47026062011719,78.65058412697022,6185.91438351362,3.2132931436747945,20609,333.98929030088067,0.7120506566674836,10050.png,105905
41.59663009643555,73.93095910137951,5465.78671364985,2.4840084784675915,23878,382.8603611179061,0.7835969077533713,10052.png,79174
64.06389407835145,81.01865943335692,6564.023176378274,3.572143353520732,13061,138.37693922119175,0.6921116350026241,10053.png,136309
47.19367218017578,83.42635037826312,6959.955937436724,2.2654669053611163,18543,355.44103550024465,0.8187127532868508,10059.png,77383
31.764053344726562,63.84134572009828,4075.7174233531114,2.0831647215699567,19781,189.19520547945206,0.8153661100278352,10060.png,63368
50.37041258896797,78.43373742288473,6151.85116612203,2.6853026096223,8677,97.33835686080606,0.780599354792153,10062.png,99055
57.8728141784668,79.54056374318971,6326.701280584424,2.9187378635155627,12842,160.66998685176122,0.7415011495564048,10063.png,104703
51.070796966552734,85.27192963209738,7271.301983181367,2.5734760747238394,23504,448.6746193126222,0.7835696632537856,10067.png,82459
50.666927337646484,89.07341416101978,7934.07311030056,2.25238363080141,21228,478.76908023483355,0.815637586174996,10068.png,76946
28.587448120117188,62.07178621731554,3852.906644208124,1.9641159512747863,19105,285.7060298434442,0.8294950136313739,10072.png,59100
33.7984733581543,67.63292487027655,4574.212526508472,1.9884238443722535,18546,114.39324700342462,0.8285732732524043,10073.png,63609
18.77820587158203,55.59616309881386,3090.933351309912,1.2175827693441783,10573,147.36529935176122,0.9046831195586539,10075.png,33802
66.50882339477539,78.32907286163314,6135.443655363033,3.5588889961790606,32061,204.85432974559677,0.6432999086729994,10077.png,133840
51.25693893432617,77.45675301311032,5999.548587333973,2.8841607100786666,30346,409.805620107632,0.7234757778159079,10078.png,102228
49.64000701904297,84.7172037648367,7177.004613732861,2.480064155315053,22728,403.66689854452045,0.7939800005820208,10088.png,81423
24.697250366210938,64.35946327281033,4142.140512764221,1.328627499199744,11232,342.2347342832679,0.9032429972969942,10094.png,41145
37.679866790771484,69.75970536668889,4866.416492847244,2.558689294753699,24155,307.6296401051859,0.7685650072641207,10095.png,87254
38.43254852294922,69.97320603303736,4896.249562541896,2.5713878931052045,24528,310.3664077788651,0.7677078906747283,10101.png,87659
49.909889221191406,73.64393953464074,5423.42983018182,2.90364559471085,16355,146.89204684442268,0.7319662758910095,10105.png,97243
